t1,f1.s11m,f1.s21m,f1.s11a,f1.s21a,t2,f2.s11m,f2.s21m,f2.s11a,f2.s21a
0.2459,0,0,0,0,0.19901,0,0,0,0
0.24828,0,0,0,0,0.20094,0,0,0,0
0.25067,0,0,0,0,0.20287,0,0,0,0
0.25306,0,0,0,0,0.2048,0,0,0,0
0.25545,0,0,0,0,0.20674,0,0,0,0
0.25783,0,0,0,0,0.20867,0,0,0,0
0.26022,0,0,0,0,0.2106,0,0,0,0
0.26261,0,0,0,0,0.21253,0,0,0,0
0.265,0,0,0,0,0.21446,0,0,0,0
0.26738,0,0,0,0,0.2164,0,0,0,0
0.26977,0,0,0,0,0.21833,0,0,0,0
0.27216,0,0,0,0,0.22026,0,0,0,0
0.27455,0,0,0,0,0.22219,0,0,0,0
0.27693,0,0,0,0,0.22412,0,0,0,0
0.27932,0,0,0,0,0.22606,0,0,0,0
0.28171,0,0,0,0,0.22799,0,0,0,0
0.2841,0,0,0,0,0.22992,0,0,0,0
0.28648,0,0,0,0,0.23185,0,0,0,0
0.28887,0,0,0,0,0.23378,0,0,0,0
0.29126,0,0,0,0,0.23572,0,0,0,0
0.29364,0,0,0,0,0.23765,0,0,0,0
0.29603,0,0,0,0,0.23958,0,0,0,0
0.29842,0,0,0,0,0.24151,0,0,0,0
0.30081,0,0,0,0,0.24345,0,0,0,0
0.30319,0,0,0,0,0.24538,0,0,0,0
0.30558,0,0,0,0,0.24731,0,0,0,0
0.30797,0,0,0,0,0.24924,0,0,0,0
0.31036,0,0,0,0,0.25117,0,0,0,0
0.31274,0,0,0,0,0.25311,0,0,0,0
0.31513,0,0,0,0,0.25504,0,0,0,0
0.31752,0,0,0,0,0.25697,0,0,0,0
0.31991,0,0,0,0,0.2589,0,0,0,0
0.32229,0,0,0,0,0.26083,0,0,0,0
0.32468,0,0,0,0,0.26277,0,0,0,0
0.32707,0,0,0,0,0.2647,0,0,0,0
0.32945,0,0,0,0,0.26663,0,0,0,0
0.33184,0,0,0,0,0.26856,0,0,0,0
0.33423,0,0,0,0,0.2705,0,0,0,0
0.33662,0,0,0,0,0.27243,0,0,0,0
0.339,0,0,0,0,0.27436,0,0,0,0
0.34139,0,0,0,0,0.27629,0,0,0,0
0.34378,0,0,0,0,0.27822,0,0,0,0
0.34617,0,0,0,0,0.28016,0,0,0,0
0.34855,0,0,0,0,0.28209,0,0,0,0
0.35094,0,0,0,0,0.28402,0,0,0,0
0.35333,0,0,0,0,0.28595,0,0,0,0
0.35572,0,0,0,0,0.28788,0,0,0,0
0.3581,0,0,0,0,0.28982,0,0,0,0
0.36049,0,0,0,0,0.29175,0,0,0,0
0.36288,0,0,0,0,0.29368,0,0,0,0
0.36527,0,0,0,0,0.29561,0,0,0,0
0.36765,0,0,0,0,0.29754,0,0,0,0
0.37004,0,0,0,0,0.29948,0,0,0,0
0.37243,0,0,0,0,0.30141,0,0,0,0
0.37481,0,0,0,0,0.30334,0,0,0,0
0.3772,0,0,0,0,0.30527,0,0,0,0
0.37959,0,0,0,0,0.30721,0,0,0,0
0.38198,0,0,0,0,0.30914,0,0,0,0
0.38436,0,0,0,0,0.31107,0,0,0,0
0.38675,0,0,0,0,0.313,0,0,0,0
0.38914,0,0,0,0,0.31493,0,0,0,0
0.39153,0,0,0,0,0.31687,0,0,0,0
0.39391,0,0,0,0,0.3188,0,0,0,0
0.3963,0,0,0,0,0.32073,0,0,0,0
0.39869,0,0,0,0,0.32266,0,0,0,0
0.40108,0,0,0,0,0.32459,0,0,0,0
0.40346,0,0,0,0,0.32653,0,0,0,0
0.40585,0,0,0,0,0.32846,0,0,0,0
0.40824,0,0,0,0,0.33039,0,0,0,0
0.41063,0,0,0,0,0.33232,0,0,0,0
0.41301,0,0,0,0,0.33425,0,0,0,0
0.4154,0,0,0,0,0.33619,0,0,0,0
0.41779,0,0,0,0,0.33812,0,0,0,0
0.42017,0,0,0,0,0.34005,0,0,0,0
0.42256,0,0,0,0,0.34198,0,0,0,0
0.42495,0,0,0,0,0.34392,0,0,0,0
0.42734,0,0,0,0,0.34585,0,0,0,0
0.42972,0,0,0,0,0.34778,0,0,0,0
0.43211,0,0,0,0,0.34971,0,0,0,0
0.4345,0,0,0,0,0.35164,0,0,0,0
0.43689,0,0,0,0,0.35358,0,0,0,0
0.43927,0,0,0,0,0.35551,0,0,0,0
0.44166,0,0,0,0,0.35744,0,0,0,0
0.44405,0,0,0,0,0.35937,0,0,0,0
0.44644,0,0,0,0,0.3613,0,0,0,0
0.44882,0,0,0,0,0.36324,0,0,0,0
0.45121,0,0,0,0,0.36517,0,0,0,0
0.4536,0,0,0,0,0.3671,0,0,0,0
0.45598,0,0,0,0,0.36903,0,0,0,0
0.45837,0,0,0,0,0.37096,0,0,0,0
0.46076,0,0,0,0,0.3729,0,0,0,0
0.46315,0,0,0,0,0.37483,0,0,0,0
0.46553,0,0,0,0,0.37676,0,0,0,0
0.46792,0,0,0,0,0.37869,0,0,0,0
0.47031,0,0,0,0,0.38063,0,0,0,0
0.4727,0,0,0,0,0.38256,0,0,0,0
0.47508,0,0,0,0,0.38449,0,0,0,0
0.47747,0,0,0,0,0.38642,0,0,0,0
0.47986,0,0,0,0,0.38835,0,0,0,0
0.48225,0,0,0,0,0.39029,0,0,0,0
0.48463,0,0,0,0,0.39222,0,0,0,0
0.48702,0,0,0,0,0.39415,0,0,0,0
0.48941,0,0,0,0,0.39608,0,0,0,0
0.4918,0,0,0,0,0.39801,0,0,0,0
0.49418,0,0,0,0,0.39995,0,0,0,0
0.49657,0,0,0,0,0.40188,0,0,0,0
0.49896,0,0,0,0,0.40381,0,0,0,0
0.50134,0,0,0,0,0.40574,0,0,0,0
0.50373,0,0,0,0,0.40767,0,0,0,0
0.50612,0,0,0,0,0.40961,0,0,0,0
0.50851,0,0,0,0,0.41154,0,0,0,0
0.51089,0,0,0,0,0.41347,0,0,0,0
0.51328,0,0,0,0,0.4154,0,0,0,0
0.51567,0,0,0,0,0.41734,0,0,0,0
0.51806,0,0,0,0,0.41927,0,0,0,0
0.52044,0,0,0,0,0.4212,0,0,0,0
0.52283,0,0,0,0,0.42313,0,0,0,0
0.52522,0,0,0,0,0.42506,0,0,0,0
0.52761,0,0,0,0,0.427,0,0,0,0
0.52999,0,0,0,0,0.42893,0,0,0,0
0.53238,0,0,0,0,0.43086,0,0,0,0
0.53477,0,0,0,0,0.43279,0,0,0,0
0.53715,0,0,0,0,0.43472,0,0,0,0
0.53954,0,0,0,0,0.43666,0,0,0,0
0.54193,0,0,0,0,0.43859,0,0,0,0
0.54432,0,0,0,0,0.44052,0,0,0,0
0.5467,0,0,0,0,0.44245,0,0,0,0
0.54909,0,0,0,0,0.44438,0,0,0,0
0.55148,0,0,0,0,0.44632,0,0,0,0
0.55387,0,0,0,0,0.44825,0,0,0,0
0.55625,0,0,0,0,0.45018,0,0,0,0
0.55864,0,0,0,0,0.45211,0,0,0,0
0.56103,0,0,0,0,0.45405,0,0,0,0
0.56342,0,0,0,0,0.45598,0,0,0,0
0.5658,0,0,0,0,0.45791,0,0,0,0
0.56819,0,0,0,0,0.45984,0,0,0,0
0.57058,0,0,0,0,0.46177,0,0,0,0
0.57297,0,0,0,0,0.46371,0,0,0,0
0.57535,0,0,0,0,0.46564,0,0,0,0
0.57774,0,0,0,0,0.46757,0,0,0,0
0.58013,0,0,0,0,0.4695,0,0,0,0
0.58251,0,0,0,0,0.47143,0,0,0,0
0.5849,0,0,0,0,0.47337,0,0,0,0
0.58729,0,0,0,0,0.4753,0,0,0,0
0.58968,0,0,0,0,0.47723,0,0,0,0
0.59206,0,0,0,0,0.47916,0,0,0,0
0.59445,0,0,0,0,0.48109,0,0,0,0
0.59684,0,0,0,0,0.48303,0,0,0,0
0.59923,0,0,0,0,0.48496,0,0,0,0
0.60161,0,0,0,0,0.48689,0,0,0,0
0.604,0,0,0,0,0.48882,0,0,0,0
0.60639,0,0,0,0,0.49076,0,0,0,0
0.60878,0,0,0,0,0.49269,0,0,0,0
0.61116,0,0,0,0,0.49462,0,0,0,0
0.61355,0,0,0,0,0.49655,0,0,0,0
0.61594,0,0,0,0,0.49848,0,0,0,0
0.61832,0,0,0,0,0.50042,0,0,0,0
0.62071,0,0,0,0,0.50235,0,0,0,0
0.6231,0,0,0,0,0.50428,0,0,0,0
0.62549,0,0,0,0,0.50621,0,0,0,0
0.62787,0,0,0,0,0.50814,0,0,0,0
0.63026,0,0,0,0,0.51008,0,0,0,0
0.63265,0,0,0,0,0.51201,0,0,0,0
0.63504,0,0,0,0,0.51394,0,0,0,0
0.63742,0,0,0,0,0.51587,0,0,0,0
0.63981,0,0,0,0,0.5178,0,0,0,0
0.6422,0,0,0,0,0.51974,0,0,0,0
0.64459,0,0,0,0,0.52167,0,0,0,0
0.64697,0,0,0,0,0.5236,0,0,0,0
0.64936,0,0,0,0,0.52553,0,0,0,0
0.65175,0,0,0,0,0.52747,0,0,0,0
0.65414,0,0,0,0,0.5294,0,0,0,0
0.65652,0,0,0,0,0.53133,0,0,0,0
0.65891,0,0,0,0,0.53326,0,0,0,0
0.6613,0,0,0,0,0.53519,0,0,0,0
0.66368,0,0,0,0,0.53713,0,0,0,0
0.66607,0,0,0,0,0.53906,0,0,0,0
0.66846,0,0,0,0,0.54099,0,0,0,0
0.67085,0,0,0,0,0.54292,0,0,0,0
0.67323,0,0,0,0,0.54485,0,0,0,0
0.67562,0,0,0,0,0.54679,0,0,0,0
0.67801,0,0,0,0,0.54872,0,0,0,0
0.6804,0,0,0,0,0.55065,0,0,0,0
0.68278,0,0,0,0,0.55258,0,0,0,0
0.68517,0,0,0,0,0.55451,0,0,0,0
0.68756,0,0,0,0,0.55645,0,0,0,0
0.68995,0,0,0,0,0.55838,0,0,0,0
0.69233,0,0,0,0,0.56031,0,0,0,0
0.69472,0,0,0,0,0.56224,0,0,0,0
0.69711,0,0,0,0,0.56418,0,0,0,0
0.69949,0,0,0,0,0.56611,0,0,0,0
0.70188,0,0,0,0,0.56804,0,0,0,0
0.70427,0,0,0,0,0.56997,0,0,0,0
0.70666,0,0,0,0,0.5719,0,0,0,0
0.70904,0,0,0,0,0.57384,0,0,0,0
0.71143,0,0,0,0,0.57577,0,0,0,0
0.71382,0,0,0,0,0.5777,0,0,0,0
0.71621,0,0,0,0,0.57963,0,0,0,0
0.71859,0,0,0,0,0.58156,0,0,0,0
0.72098,0,0,0,0,0.5835,0,0,0,0
0.72337,0,0,0,0,0.58543,0,0,0,0
0.72576,0,0,0,0,0.58736,0,0,0,0
0.72814,0,0,0,0,0.58929,0,0,0,0
0.73053,0,0,0,0,0.59122,0,0,0,0
0.73292,0,0,0,0,0.59316,0,0,0,0
0.73531,0,0,0,0,0.59509,0,0,0,0
0.73769,0,0,0,0,0.59702,0,0,0,0
0.74008,0,0,0,0,0.59895,0,0,0,0
0.74247,0,0,0,0,0.60089,0,0,0,0
0.74485,0,0,0,0,0.60282,0,0,0,0
0.74724,0,0,0,0,0.60475,0,0,0,0
0.74963,0,0,0,0,0.60668,0,0,0,0
0.75202,0,0,0,0,0.60861,0,0,0,0
0.7544,0,0,0,0,0.61055,0,0,0,0
0.75679,0,0,0,0,0.61248,0,0,0,0
0.75918,0,0,0,0,0.61441,0,0,0,0
0.76157,0,0,0,0,0.61634,0,0,0,0
0.76395,0,0,0,0,0.61827,0,0,0,0
0.76634,0,0,0,0,0.62021,0,0,0,0
0.76873,0,0,0,0,0.62214,0,0,0,0
0.77112,0,0,0,0,0.62407,0,0,0,0
0.7735,0,0,0,0,0.626,0,0,0,0
0.77589,0,0,0,0,0.62793,0,0,0,0
0.77828,0,0,0,0,0.62987,0,0,0,0
0.78067,0,0,0,0,0.6318,0,0,0,0
0.78305,0,0,0,0,0.63373,0,0,0,0
0.78544,0,0,0,0,0.63566,0,0,0,0
0.78783,0,0,0,0,0.6376,0,0,0,0
0.79021,0,0,0,0,0.63953,0,0,0,0
0.7926,0,0,0,0,0.64146,0,0,0,0
0.79499,0,0,0,0,0.64339,0,0,0,0
0.79738,0,0,0,0,0.64532,0,0,0,0
0.79976,0,0,0,0,0.64726,0,0,0,0
0.80215,0,0,0,0,0.64919,0,0,0,0
0.80454,0,0,0,0,0.65112,0,0,0,0
0.80693,0,0,0,0,0.65305,0,0,0,0
0.80931,0,0,0,0,0.65498,0,0,0,0
0.8117,0,0,0,0,0.65692,0,0,0,0
0.81409,0,0,0,0,0.65885,0,0,0,0
0.81648,0,0,0,0,0.66078,0,0,0,0
0.81886,0,0,0,0,0.66271,0,0,0,0
0.82125,0,0,0,0,0.66464,0,0,0,0
0.82364,0,0,0,0,0.66658,0,0,0,0
0.82602,0,0,0,0,0.66851,0,0,0,0
0.82841,0,0,0,0,0.67044,0,0,0,0
0.8308,0,0,0,0,0.67237,0,0,0,0
0.83319,0,0,0,0,0.67431,0,0,0,0
0.83557,0,0,0,0,0.67624,0,0,0,0
0.83796,0,0,0,0,0.67817,0,0,0,0
0.84035,0,0,0,0,0.6801,0,0,0,0
0.84274,0,0,0,0,0.68203,0,0,0,0
0.84512,0,0,0,0,0.68397,0,0,0,0
0.84751,0,0,0,0,0.6859,0,0,0,0
0.8499,0,0,0,0,0.68783,0,0,0,0
0.85229,0,0,0,0,0.68976,0,0,0,0
0.85467,0,0,0,0,0.69169,0,0,0,0
0.85706,0,0,0,0,0.69363,0,0,0,0
0.85945,0,0,0,0,0.69556,0,0,0,0
0.86184,0,0,0,0,0.69749,0,0,0,0
0.86422,0,0,0,0,0.69942,0,0,0,0
0.86661,0,0,0,0,0.70135,0,0,0,0
0.869,0,0,0,0,0.70329,0,0,0,0
0.87138,0,0,0,0,0.70522,0,0,0,0
0.87377,0,0,0,0,0.70715,0,0,0,0
0.87616,0,0,0,0,0.70908,0,0,0,0
0.87855,0,0,0,0,0.71102,0,0,0,0
0.88093,0,0,0,0,0.71295,0,0,0,0
0.88332,0,0,0,0,0.71488,0,0,0,0
0.88571,0,0,0,0,0.71681,0,0,0,0
0.8881,0,0,0,0,0.71874,0,0,0,0
0.89048,0,0,0,0,0.72068,0,0,0,0
0.89287,0,0,0,0,0.72261,0,0,0,0
0.89526,0,0,0,0,0.72454,0,0,0,0
0.89765,0,0,0,0,0.72647,0,0,0,0
0.90003,0,0,0,0,0.7284,0,0,0,0
0.90242,0,0,0,0,0.73034,0,0,0,0
0.90481,0,0,0,0,0.73227,0,0,0,0
0.90719,0,0,0,0,0.7342,0,0,0,0
0.90958,0,0,0,0,0.73613,0,0,0,0
0.91197,0,0,0,0,0.73807,0,0,0,0
0.91436,0,0,0,0,0.74,0,0,0,0
0.91674,0,0,0,0,0.74193,0,0,0,0
0.91913,0,0,0,0,0.74386,0,0,0,0
0.92152,0,0,0,0,0.74579,0,0,0,0
0.92391,0,0,0,0,0.74773,0,0,0,0
0.92629,0,0,0,0,0.74966,0,0,0,0
0.92868,0,0,0,0,0.75159,0,0,0,0
0.93107,0,0,0,0,0.75352,0,0,0,0
0.93346,0,0,0,0,0.75545,0,0,0,0
0.93584,0,0,0,0,0.75739,0,0,0,0
0.93823,0,0,0,0,0.75932,0,0,0,0
0.94062,0,0,0,0,0.76125,0,0,0,0
0.94301,0,0,0,0,0.76318,0,0,0,0
0.94539,0,0,0,0,0.76511,0,0,0,0
0.94778,0,0,0,0,0.76705,0,0,0,0
0.95017,0,0,0,0,0.76898,0,0,0,0
0.95255,0,0,0,0,0.77091,0,0,0,0
0.95494,0,0,0,0,0.77284,0,0,0,0
0.95733,0,0,0,0,0.77478,0,0,0,0
0.95972,0,0,0,0,0.77671,0,0,0,0
0.9621,0,0,0,0,0.77864,0,0,0,0
0.96449,0,0,0,0,0.78057,0,0,0,0
0.96688,0,0,0,0,0.7825,0,0,0,0
0.96927,0,0,0,0,0.78444,0,0,0,0
0.97165,0,0,0,0,0.78637,0,0,0,0
0.97404,0,0,0,0,0.7883,0,0,0,0
0.97643,0,0,0,0,0.79023,0,0,0,0
0.97882,0,0,0,0,0.79216,0,0,0,0
0.9812,0,0,0,0,0.7941,0,0,0,0
0.98359,0,0,0,0,0.79603,0,0,0,0
0.98598,0,0,0,0,0.79796,0,0,0,0
0.98836,0,0,0,0,0.79989,0,0,0,0
0.99075,0,0,0,0,0.80182,0,0,0,0
0.99314,0,0,0,0,0.80376,0,0,0,0
0.99553,0,0,0,0,0.80569,0,0,0,0
0.99791,0,0,0,0,0.80762,0,0,0,0
1.0003,0,0,0,0,0.80955,0,0,0,0
1.0027,0,0,0,0,0.81149,0,0,0,0
1.0051,0,0,0,0,0.81342,0,0,0,0
1.0075,0,0,0,0,0.81535,0,0,0,0
1.0099,0,0,0,0,0.81728,0,0,0,0
1.0122,0,0,0,0,0.81921,0,0,0,0
1.0146,0,0,0,0,0.82115,0,0,0,0
1.017,0,0,0,0,0.82308,0,0,0,0
1.0194,0,0,0,0,0.82501,0,0,0,0
1.0218,0,0,0,0,0.82694,0,0,0,0
1.0242,0,0,0,0,0.82887,0,0,0,0
1.0266,0,0,0,0,0.83081,0,0,0,0
1.0289,0,0,0,0,0.83274,0,0,0,0
1.0313,0,0,0,0,0.83467,0,0,0,0
1.0337,0,0,0,0,0.8366,0,0,0,0
1.0361,0,0,0,0,0.83853,0,0,0,0
1.0385,0,0,0,0,0.84047,0,0,0,0
1.0409,0,0,0,0,0.8424,0,0,0,0
1.0433,0,0,0,0,0.84433,0,0,0,0
1.0457,0,0,0,0,0.84626,0,0,0,0
1.048,0,0,0,0,0.8482,0,0,0,0
1.0504,0,0,0,0,0.85013,0,0,0,0
1.0528,0,0,0,0,0.85206,0,0,0,0
1.0552,0,0,0,0,0.85399,0,0,0,0
1.0576,0,0,0,0,0.85592,0,0,0,0
1.06,0,0,0,0,0.85786,0,0,0,0
1.0624,0,0,0,0,0.85979,0,0,0,0
1.0648,0,0,0,0,0.86172,0,0,0,0
1.0671,0,0,0,0,0.86365,0,0,0,0
1.0695,0,0,0,0,0.86558,0,0,0,0
1.0719,0,0,0,0,0.86752,0,0,0,0
1.0743,0,0,0,0,0.86945,0,0,0,0
1.0767,0,0,0,0,0.87138,0,0,0,0
1.0791,0,0,0,0,0.87331,0,0,0,0
1.0815,0,0,0,0,0.87524,0,0,0,0
1.0839,0,0,0,0,0.87718,0,0,0,0
1.0862,0,0,0,0,0.87911,0,0,0,0
1.0886,0,0,0,0,0.88104,0,0,0,0
1.091,0,0,0,0,0.88297,0,0,0,0
1.0934,0,0,0,0,0.88491,0,0,0,0
1.0958,0,0,0,0,0.88684,0,0,0,0
1.0982,0,0,0,0,0.88877,0,0,0,0
1.1006,0,0,0,0,0.8907,0,0,0,0
1.103,0,0,0,0,0.89263,0,0,0,0
1.1053,0,0,0,0,0.89457,0,0,0,0
1.1077,0,0,0,0,0.8965,0,0,0,0
1.1101,0,0,0,0,0.89843,0,0,0,0
1.1125,0,0,0,0,0.90036,0,0,0,0
1.1149,0,0,0,0,0.90229,0,0,0,0
1.1173,0,0,0,0,0.90423,0,0,0,0
1.1197,0,0,0,0,0.90616,0,0,0,0
1.1221,0,0,0,0,0.90809,0,0,0,0
1.1244,0,0,0,0,0.91002,0,0,0,0
1.1268,0,0,0,0,0.91195,0,0,0,0
1.1292,0,0,0,0,0.91389,0,0,0,0
1.1316,0,0,0,0,0.91582,0,0,0,0
1.134,0,0,0,0,0.91775,0,0,0,0
1.1364,0,0,0,0,0.91968,0,0,0,0
1.1388,0,0,0,0,0.92162,0,0,0,0
1.1412,0,0,0,0,0.92355,0,0,0,0
1.1435,0,0,0,0,0.92548,0,0,0,0
1.1459,0,0,0,0,0.92741,0,0,0,0
1.1483,0,0,0,0,0.92934,0,0,0,0
1.1507,0,0,0,0,0.93128,0,0,0,0
1.1531,0,0,0,0,0.93321,0,0,0,0
1.1555,0,0,0,0,0.93514,0,0,0,0
1.1579,0,0,0,0,0.93707,0,0,0,0
1.1603,0,0,0,0,0.939,0,0,0,0
1.1626,0,0,0,0,0.94094,0,0,0,0
1.165,0,0,0,0,0.94287,0,0,0,0
1.1674,0,0,0,0,0.9448,0,0,0,0
1.1698,0,0,0,0,0.94673,0,0,0,0
1.1722,0,0,0,0,0.94866,0,0,0,0
1.1746,0,0,0,0,0.9506,0,0,0,0
1.177,0,0,0,0,0.95253,0,0,0,0
1.1794,0,0,0,0,0.95446,0,0,0,0
1.1817,0,0,0,0,0.95639,0,0,0,0
1.1841,0,0,0,0,0.95833,0,0,0,0
1.1865,0,0,0,0,0.96026,0,0,0,0
1.1889,0,0,0,0,0.96219,0,0,0,0
1.1913,0,0,0,0,0.96412,0,0,0,0
1.1937,0,0,0,0,0.96605,0,0,0,0
1.1961,0,0,0,0,0.96799,0,0,0,0
1.1985,0,0,0,0,0.96992,0,0,0,0
1.2008,0,0,0,0,0.97185,0,0,0,0
1.2032,0,0,0,0,0.97378,0,0,0,0
1.2056,0,0,0,0,0.97571,0,0,0,0
1.208,0,0,0,0,0.97765,0,0,0,0
1.2104,0,0,0,0,0.97958,0,0,0,0
1.2128,0,0,0,0,0.98151,0,0,0,0
1.2152,0,0,0,0,0.98344,0,0,0,0
1.2176,0,0,0,0,0.98537,0,0,0,0
1.2199,0,0,0,0,0.98731,0,0,0,0
1.2223,0,0,0,0,0.98924,0,0,0,0
1.2247,0,0,0,0,0.99117,0,0,0,0
1.2271,0,0,0,0,0.9931,0,0,0,0
1.2295,0,0,0,0,0.99504,0,0,0,0
1.2319,0,0,0,0,0.99697,0,0,0,0
1.2343,0,0,0,0,0.9989,0,0,0,0
1.2366,0,0,0,0,1.0008,0,0,0,0
1.239,0,0,0,0,1.0028,0,0,0,0
1.2414,0,0,0,0,1.0047,0,0,0,0
1.2438,0,0,0,0,1.0066,0,0,0,0
1.2462,0,0,0,0,1.0086,0,0,0,0
1.2486,0,0,0,0,1.0105,0,0,0,0
1.251,0,0,0,0,1.0124,0,0,0,0
1.2534,0,0,0,0,1.0144,0,0,0,0
1.2557,0,0,0,0,1.0163,0,0,0,0
1.2581,0,0,0,0,1.0182,0,0,0,0
1.2605,0,0,0,0,1.0202,0,0,0,0
1.2629,0,0,0,0,1.0221,0,0,0,0
1.2653,0,0,0,0,1.024,0,0,0,0
1.2677,0,0,0,0,1.0259,0,0,0,0
1.2701,0,0,0,0,1.0279,0,0,0,0
1.2725,0,0,0,0,1.0298,0,0,0,0
